City,Inbound,Outbound,Total,Latitude,Longitude
Abu Dhabi,92164,105233,197397,24.4667,54.3667
Auckland,327119,306323,633442,-36.8406,174.74
Bandar Seri Begawan,1129,1408,2537,4.8903,114.9422
Bangkok,75151,71544,146695,13.7525,100.4942
Christchurch,52789,55836,108625,-43.531,172.6365
Colombo,74276,70721,144997,6.9344,79.8428
Da Nang,0,275,275,16.0545,108.0717
Dallas,17528,19662,37190,32.7935,-96.7667
Denpasar,98160,129705,227865,-8.65,115.2167
Dili,1949,1967,3916,-8.5536,125.5783
Doha,224157,254707,478864,25.2867,51.5333
Dubai,331340,393447,724787,25.2631,55.2972
Fuzhou,387,0,387,27.9814,116.3577
Guangzhou,11418,19666,31084,23.13,113.26
Hangzhou,532,3890,4422,30.25,120.1675
Hanoi,5040,6651,11691,21.0283,105.8542
Ho Chi Minh City,42090,45644,87734,10.7756,106.7019
Hong Kong,33011,26745,59756,22.3,114.2
Honiara,3450,1945,5395,-9.4319,159.9556
Honolulu,52777,61875,114652,21.3294,-157.846
Jakarta,15569,14377,29946,-6.175,106.8275
Johannesburg,17990,16102,34092,-26.2044,28.0456
Kuala Lumpur,74784,65122,139906,3.1478,101.6953
Kunming,0,2504,2504,25.0433,102.7061
London,79346,80951,160297,51.5072,-0.1275
Los Angeles,159920,171046,330966,34.1141,-118.4068
Manila,37998,41834,79832,14.5958,120.9772
Medan,31,0,31,3.5894,98.6739
Nadi,165256,169872,335128,-17.8,177.4167
Nauru,1253,1134,2387,-0.5228,166.9315
New Delhi,114155,91611,205766,28.6139,77.209
Noumea,14005,14519,28524,-22.2735,166.4481
Phuket,25785,28190,53975,7.8881,98.3975
Port Moresby,23330,20363,43693,-9.4789,147.1494
Port Vila,2850,1907,4757,-17.7333,168.3273
Queenstown,17972,20267,38239,-31.9,26.8833
Rome,709,908,1617,41.8931,12.4828
San Francisco,37573,45237,82810,37.7558,-122.4449
Santiago,5714,4705,10419,-33.4372,-70.6506
Seoul,25240,26752,51992,37.56,126.99
Shanghai,4074,6825,10899,31.1667,121.4667
Singapore,803717,761170,1564887,1.3,103.8
Suva,55,165,220,-18.1416,178.4419
Taipei,6933,5493,12426,25.0375,121.5625
Tokyo,31495,32416,63911,35.6897,139.6922
Vancouver,45461,49167,94628,49.25,-123.1
Wellington,37045,37478,74523,-41.2889,174.7772
Xiamen,13317,16075,29392,24.4797,118.0819
